metric_id,label,domain,page,description,formula,aggregation,allowed_aggregations,unit,status,official_for_chatbot,realtime_live_query,execution_kind,executor,executor_compute_file,summary_field,registry_payload_path,registry_sample_size_path,registry_definition,registry_count_from_clients,supported_filters,sources_schema_table_column,sources_tables,sources_columns,aliases,limitations,page_hint,questions,legacy_ids_pointing_here,in_catalog,in_registry,notes_technical
cancellations_by_non_renewal,Cancelamentos por não renovação,cancellations,Cancelamento,Cancelamentos classificados como Não renovação.,Cancelamentos classificados como Não renovação.,,,clients,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,cancelamentos por nao renovacao|cancelamentos por não renovação|quantos cancelamentos por nao renovacao|quantos cancelamentos por não renovação,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellations_by_non_renewal
cancellations_with_reason,Cancelamentos com motivo informado,cancellations,Cancelamento,Clientes cancelados com cancellations.motivo (ou fallback motivo_churn) preenchido.,motivo preenchido,,,clients,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,cancelamentos com motivo|quantos cancelamentos tem motivo|quantos cancelamentos têm motivo|motivo informado,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellations_with_reason
cancellations_without_reason,Cancelamentos sem motivo,cancellations,Cancelamento,Cancelamentos efetivados sem motivo preenchido.,efetivado sem motivo,,,clients,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,cancelamentos sem motivo|quantos cancelamentos sem motivo|motivo ausente,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellations_without_reason
clients_in_cancellation_process,Clientes em processo de cancelamento,cancellations,Cancelamento,"Clientes distintos com data_pedido ou intencao_registrada_at, não arquivados e sem churn/distrato efetivado.",count(distinct client_id) com (data_pedido OU intencao_registrada_at) E sem churn_efetivado_at E sem distrato_assinado_at E archived_at null,,,clients,,no,no,,,,,,,,no,,public.cancellations.data_pedido|public.cancellations.intencao_registrada_at|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,cancellations|cancellations|cancellations|cancellations,data_pedido|intencao_registrada_at|churn_efetivado_at|distrato_assinado_at,clientes em processo de cancelamento|quantos clientes estao em processo de cancelamento|em processo de cancelamento|intencao ou pedido sem efetivacao|quantos tem intencao ou pedido mas ainda nao foram cancelados,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#clients_in_cancellation_process
median_days_since_financial_update_before_cancellation,Dias desde a última atualização financeira antes do cancelamento,cancellations,Cancelamento,Mediana de dias entre a última atualização financeira (≤ cancelamento) e a data de cancelamento.,median(cancelamento - updated_at financeiro válido: updated_at > created_at),,,days,,no,no,,,,,,,,no,,public.client_financial_data.updated_at|public.client_financial_data.created_at,client_financial_data|client_financial_data,updated_at|created_at,quanto tempo ficaram sem atualizacao financeira antes de cancelar|quanto tempo ficaram sem atualização financeira antes de cancelar|dias sem atualizacao financeira antes do cancelamento|dias sem atualização financeira antes do cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_days_since_financial_update_before_cancellation
median_days_to_cancellation,Tempo típico até o cancelamento,cancellations,Cancelamento,Mediana de dias entre contratação (data_inicio_ciclo|created_at) e data consolidada de cancelamento.,median(cancelamento - contratacao),,,days,,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,clients|cancellations|cancellations,data_inicio_ciclo|churn_efetivado_at|distrato_assinado_at,quanto tempo tipico os clientes ficam antes de cancelar|quanto tempo típico os clientes ficam antes de cancelar|tempo tipico ate o cancelamento|tempo típico até o cancelamento|permanencia ate cancelamento|permanência até cancelamento|mediana dias ate cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_days_to_cancellation
median_days_without_interaction_before_cancellation,Dias desde a última reunião antes do cancelamento,cancellations,Cancelamento,Interação v1: mediana de dias desde a última reunião com presença confirmada até o cancelamento.,median(cancelamento - ultima reuniao compareceu),,,days,,no,no,,,,,,,,no,,public.client_meetings.start_time|public.meeting_attendance.status,client_meetings|meeting_attendance,start_time|status,dias sem interacao antes do cancelamento|dias sem interação antes do cancelamento|dias desde a ultima reuniao antes do cancelamento|dias desde a última reunião antes do cancelamento|quanto tempo sem reuniao antes de cancelar,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_days_without_interaction_before_cancellation
median_meetings_before_cancellation,Reuniões típicas antes do cancelamento,cancellations,Cancelamento,Mediana da quantidade de reuniões com presença confirmada (compareceu) com data ≤ cancelamento.,median(count reunioes compareceu <= cancelamento),,,meetings,,no,no,,,,,,,,no,,public.client_meetings.start_time|public.meeting_attendance.status,client_meetings|meeting_attendance,start_time|status,quantas reunioes os clientes tiveram antes de cancelar|quantas reuniões os clientes tiveram antes de cancelar|reunioes antes do cancelamento|reuniões antes do cancelamento|mediana de reunioes antes do cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_meetings_before_cancellation
median_order_to_effective_days,Mediana entre pedido e cancelamento efetivado,cancellations,Cancelamento,"Mediana de dias entre data_pedido e data analítica (churn/distrato), pares válidos.",median(efetivado - pedido),,,days,,no,no,,,,,,,,no,,public.cancellations.data_pedido|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,cancellations|cancellations|cancellations,data_pedido|churn_efetivado_at|distrato_assinado_at,qual a mediana entre pedido e cancelamento efetivado|mediana pedido efetivado|tempo entre pedido e churn,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#median_order_to_effective_days
top_cancellation_reason,Motivo original mais comum de cancelamento,cancellations,Cancelamento,Texto original de motivo com maior quantidade entre cancelamentos com motivo informado.,argmax(count by cancellations.motivo),,,label,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,qual o motivo mais comum de cancelamento|motivo mais comum|motivo mais frequente de cancelamento|principal motivo de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#top_cancellation_reason
top_cancellation_reason_category,Principal categoria de cancelamento,cancellations,Cancelamento,Categoria analítica com maior volume (mesmo gráfico Cancelamentos por motivo).,argmax(count by reasonCategory),,,label,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,qual a principal categoria de cancelamento|categoria mais comum de cancelamento|principal categoria de motivo|categoria mais frequente de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#top_cancellation_reason_category
total_cancellations,Cancelamentos efetivados,cancellations,Cancelamento,Clientes com cancelamento efetivado (churn_efetivado_at ou distrato_assinado_at ou distrato Assinado ou clients.data_churn em registro não arquivado). Intenção e pedido não contam.,count(distinct client_id) com churn_efetivado_at ou distrato_assinado_at ou distrato Assinado ou clients.data_churn ou distrato Assinado ou clients.data_churn,,,clients,,no,no,,,,,,,,no,,public.cancellations.client_id|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,cancellations|cancellations|cancellations,client_id|churn_efetivado_at|distrato_assinado_at,quantos clientes cancelaram|quantos cancelamentos|total de cancelamentos|quantidade de cancelamentos|cancelamentos efetivados|quantos foram efetivamente cancelados|efetivamente cancelados|onde vejo churn|onde encontro churn|em qual tela vejo churn|tela de churn,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#total_cancellations
typical_days_in_cancellation_process,Tempo típico em processo de cancelamento,cancellations,Cancelamento,"O payload de cancelamentos expõe mediana em timing.medianDaysInProcess.median. Se o card da UI mostrar “média”, não unificar o rótulo sem validação humana.","O payload de cancelamentos expõe mediana em timing.medianDaysInProcess.median. Se o card da UI mostrar “média”, não unificar o rótulo sem validação humana.",,,days,,no,no,,,,,,,,no,,,,,tempo tipico no processo de cancelamento|mediana de dias em processo de cancelamento|quanto tempo tipico no processo de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#typical_days_in_cancellation_process
ep_cancelled_share,Percentual cancelado da carteira por EP,ep_performance,Performance do Engenheiro Patrimonial,Cancelados confirmados ÷ carteira do EP atualmente vinculado (não é taxa temporal). Ressalva: pode não ser o EP histórico no cancelamento.,cancelados confirmados / carteira,,,percent,,no,no,,,,,,,,no,,,,,qual o percentual cancelado da carteira por ep|percentual cancelado da carteira|percentual cancelado por ep,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_cancelled_share
ep_clients_by_advisor,Clientes por EP,ep_performance,Performance do Engenheiro Patrimonial,Clientes distintos sob o EP atual (payload Performance do EP).,count(distinct client_id) por engenheiro_patrimonial,,,clients,,no,no,,,,,,,,no,,public.clients.engenheiro_patrimonial,clients,engenheiro_patrimonial,quantos clientes cada ep possui|clientes por ep|carteira por engenheiro|clientes por engenheiro patrimonial,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_clients_by_advisor
ep_clients_without_meeting,Clientes sem reunião,ep_performance,Performance do Engenheiro Patrimonial,Clientes da carteira sem nenhuma reunião válida.,carteira − clientes com reunião,,,clients,,no,no,,,,,,,,no,,,,,quantos clientes estao sem reuniao|quantos clientes estão sem reunião|clientes sem reuniao|clientes sem reunião,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_clients_without_meeting
ep_meeting_coverage,Cobertura de reuniões por EP,ep_performance,Performance do Engenheiro Patrimonial,Clientes com ≥1 reunião válida ÷ carteira do EP.,clientes com reunião / carteira,,,percent,,no,no,,,,,,,,no,,public.clients.id,clients,id,qual e a cobertura de reunioes por ep|qual é a cobertura de reuniões por ep|cobertura de reunioes por ep|cobertura de reuniões por ep,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_meeting_coverage
ep_nps,NPS por EP,ep_performance,Performance do Engenheiro Patrimonial,Índice NPS oficial (% Promotores − % Detratores) por EP atual; média da nota é secundária. Cobertura da carteira pode ser baixa.,% promotores (9–10) − % detratores (0–6),,,index,,no,no,,,,,,,,no,,public.nps_responses.score,nps_responses,score,qual o nps por ep|nps medio por ep|nps médio por ep|nps do engenheiro,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_nps
ep_pharus_meetings,Reuniões no App Pharus,ep_performance,Performance do Engenheiro Patrimonial,Reuniões do App Pharus (seção isolada do dashboard Performance EP).,Reuniões do App Pharus (seção isolada do dashboard Performance EP).,,,meetings,,no,no,,,,,,,,no,,,,,quantas reunioes foram registradas no app pharus|quantas reuniões foram registradas no app pharus|reunioes app pharus|reuniões app pharus,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_pharus_meetings
ep_small_samples,EPs com amostra pequena,ep_performance,Performance do Engenheiro Patrimonial,EPs com menos de 10 clientes na carteira.,EPs com menos de 10 clientes na carteira.,,,label,,no,no,,,,,,,,no,,,,,quais eps possuem amostra pequena|eps com amostra pequena|engenheiros com amostra pequena,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#ep_small_samples
financial_clients_with_data,Clientes com dados financeiros,financial_updates,Atualização Financeira,Clientes com ≥1 registro em client_financial_data no recorte da tela Atualização Financeira.,Clientes com ≥1 registro em client_financial_data no recorte da tela Atualização Financeira.,,,clients,,no,no,,,,,,,,no,,public.client_financial_data.client_id,client_financial_data,client_id,clientes com dados financeiros na atualizacao financeira|cobertura financeira da tela financeira|clientes com diagnostico financeiro na tela financeira,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#financial_clients_with_data
financial_median_days_since_update,Recência da atualização financeira,financial_updates,Atualização Financeira,Mediana de dias desde a última atualização válida (updated_at > created_at). O card da UI diz “média”; o número principal é a mediana; a média aparece na nota.,Mediana de dias desde a última atualização válida (updated_at > created_at). O card da UI diz “média”; o número principal é a mediana; a média aparece na nota.,,,days,,no,no,,,,,,,,no,,,,,recencia media da atualizacao|dias desde atualizacao financeira|mediana dias desde atualizacao,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#financial_median_days_since_update
financial_outdated_over_90_days,Clientes com dados desatualizados,financial_updates,Atualização Financeira,Clientes com atualização válida há mais de 90 dias.,Clientes com atualização válida há mais de 90 dias.,,,clients,,no,no,,,,,,,,no,,,,,dados financeiros desatualizados|atualizacao ha mais de 90 dias,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#financial_outdated_over_90_days
financial_post_creation_updates,Clientes com registro alterado após a criação,financial_updates,Atualização Financeira,Atualização real: updated_at > created_at. A criação inicial NÃO conta. Sem histórico de eventos: o total é o número de clientes cujo registro foi alterado após a criação.,isUpdated = updated_at > created_at,,,clients,,no,no,,,,,,,,no,,public.client_financial_data.updated_at|public.client_financial_data.created_at,client_financial_data|client_financial_data,updated_at|created_at,atualizacao financeira real|updated_at maior que created_at|clientes com atualizacao financeira|atualizacoes financeiras|como funciona a atualizacao financeira|como e calculada a atualizacao financeira,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#financial_post_creation_updates
financial_updated_last_30_days,Atualizados nos últimos 30 dias,financial_updates,Atualização Financeira,Clientes com updated_at > created_at e atualização nos últimos 30 dias.,Clientes com updated_at > created_at e atualização nos últimos 30 dias.,,,clients,,no,no,,,,,,,,no,,,,,atualizados nos ultimos 30 dias|atualizacao financeira recente,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#financial_updated_last_30_days
active_clients,Clientes ativos,general,Dados Gerais,Cliente com status bruto ativo e sem a regra consolidada (churn_efetivado_at OU distrato_assinado_at OU distrato='Assinado' OU clients.data_churn (união distinta por client_id; não arquivado)).,analyticalStatus === Ativo: status bruto ativo E sem cancelamento efetivado (churn_efetivado_at OU distrato_assinado_at OU distrato textual Assinado OU clients.data_churn; registros arquivados ignorados),,,clients,Sim,yes,no,,,,,,,,no,,public.clients.status|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at|public.cancellations.distrato|public.clients.data_churn,clients|cancellations|cancellations|cancellations|clients,status|churn_efetivado_at|distrato_assinado_at|distrato|data_churn,clientes ativos|quantos clientes ativos|quantos clientes estao ativos|quantos clientes estão ativos|quantos estao ativos|quantos estão ativos|ativos|clientes com status ativo|clientes em atividade|quantidade de clientes ativos,,,,,yes,yes,portal-metric-catalog.mjs#active_clients
active_or_frozen_clients,Clientes ativos e congelados,general,Dados Gerais,Clientes com status analítico Ativo ou Congelado (sem churn_efetivado_at nem distrato_assinado_at em registro não arquivado).,"analyticalStatus in (Ativo, Congelado)",,,clients,,no,no,,,,,,,,no,,public.clients.status|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,clients|cancellations|cancellations,status|churn_efetivado_at|distrato_assinado_at,clientes ativos e congelados|ativos e congelados|ativos ou congelados|ativos mais congelados|carteira ativa e congelada|quantos clientes ativos e congelados,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#active_or_frozen_clients
apex_clients,Clientes APEX,general,Dados Gerais,Clientes classificados no segmento APEX.,Clientes classificados no segmento APEX.,,,clients,,no,no,,,,,,,,no,,public.client_financial_data.ultima_renda_mensal,client_financial_data,ultima_renda_mensal,clientes apex|quantos apex|segmento apex|apex,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#apex_clients
cancelled_clients,Cancelados confirmados,general,Dados Gerais,Cliente cancelado é aquele que possui evidência consolidada: churn_efetivado_at OU distrato_assinado_at OU distrato='Assinado' OU clients.data_churn (união distinta por client_id; não arquivado). prioridade: churn_efetivado_at > distrato_assinado_at > clients.data_churn; distrato Assinado sem data = efetivado sem data confirmada.,analyticalStatus === Cancelado (churn_efetivado_at ?? distrato_assinado_at ?? clients.data_churn | distrato Assinado),,,clients,Sim,yes,no,,,,,,,,no,,public.clients.status|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,clients|cancellations|cancellations,status|churn_efetivado_at|distrato_assinado_at,clientes cancelados|quantos clientes cancelados|cancelados|clientes com status cancelado|como calculam cliente cancelado|como e calculado cliente cancelado,,,,,yes,yes,portal-metric-catalog.mjs#cancelled_clients
cancelled_without_confirmed_date,Cancelados sem data confirmada,general,Dados Gerais,Status bruto Cancelado/Churn sem a regra consolidada (churn_efetivado_at OU distrato_assinado_at OU distrato='Assinado' OU clients.data_churn (união distinta por client_id; não arquivado)). Não conta como cancelamento efetivado; categoria 'Marcado como cancelado sem confirmação'.,Cliente distinto presente em clients após exclusões operacionais.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined,clients,,cancelados sem data confirmada|cancelados sem data|churn sem data|cancelado sem churn efetivado,,,,,yes,yes,portal-metric-catalog.mjs#cancelled_without_confirmed_date
chronological_stay_days,Permanência cronológica,general,Dados Gerais,Dias civis contratação → cancelamento com data (se efetivado) ou hoje (America/Sao_Paulo). Sem o bônus +365 de renovação. É a duração usada em Kaplan–Meier e cohort.,"tenureDaysBetween(hire, end); end = data analítica de cancelamento ou hoje SP",,,days,,no,no,,,,,,,,no,,,,,permanencia cronologica|permanencia sem ajuste|stayDaysBase,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#chronological_stay_days
client_acquisition_monthly,Evolução mensal da aquisição de clientes,general,Dados Gerais,"Clientes adquiridos por mês, independentemente do status atual.",Conta clientes pela data de contratação (data_inicio_ciclo / created_at). O recorte de ativos da página não se aplica a este gráfico.,,,clients,Sim,yes,no,,,,,,,,no,,,,,,vw_info_cliente.data_assinatura_contrato; fallback data_inicio_ciclo/created_at,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Evolução mensal da aquisição de clientes | Gráfico
clients_by_engineer,Engenheiro Patrimonial,general,Dados Gerais,Distribuição de clientes por engenheiro patrimonial.,Conta clientes distintos por clients.engenheiro_patrimonial no recorte filtrado.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined,clients,,,clients.engenheiro_patrimonial,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Engenheiro Patrimonial | Gráfico
clients_by_segment,Clientes por segmento,general,Dados Gerais,"Distribuição da carteira filtrada pelos segmentos APEX, PRIVATE, PRINCIPAL, DEBTS, OVER e dados insuficientes.",Classifica cada cliente pelo segmento calculado a partir dos dados financeiros e conta por categoria.,,,clients,Sim,yes,no,,,,,,,,no,,,,,,"ultima_renda_mensal, reserva_liquidez, último aporte e dívidas",,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Clientes por segmento | Gráfico
clients_by_status,Clientes por status,general,Dados Gerais,"Distribuição da carteira filtrada pelo status analítico (Ativo, Congelado, Cancelado e variantes).",Conta clientes por analyticalStatus após a regra consolidada de cancelamento.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.undefined|public.cancellations.undefined,clients|cancellations,,,clients.status + cancellations,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Clientes por status | Gráfico
clients_with_financial_data,Clientes com diagnóstico financeiro,general,Dados Gerais,Clientes distintos com registro em public.client_financial_data (clientsWithFinancialProfile).,count distinct client_id com registro financeiro,,,clients,Sim,yes,no,,,,,,,,no,,public.client_financial_data.client_id,client_financial_data,client_id,clientes com diagnostico financeiro|clientes com dados financeiros|clientes com cadastro financeiro|quantos possuem diagnostico financeiro|quantos clientes com diagnostico financeiro|quantos clientes tem dados financeiros|quantos clientes têm dados financeiros|diagnostico financeiro|com diagnostico financeiro,Registro em client_financial_data e vínculo client_financial_data.client_id → clients.id.,,,,yes,yes,portal-metric-catalog.mjs#clients_with_financial_data
debts_clients,Clientes DEBTS,general,Dados Gerais,Clientes classificados no segmento DEBTS.,Clientes classificados no segmento DEBTS.,,,clients,,no,no,,,,,,,,no,,,,,clientes debts|quantos debts|segmento debts|debts|endividados,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#debts_clients
financial_profile_distribution,Perfil Financeiro,general,Dados Gerais,"Perfil patrimonial (imóvel, carro, consórcio e correlatos) entre clientes com diagnóstico financeiro.",Conta flags financeiras preenchidas na base de client_financial_data.,,,clients,Sim,yes,no,,,,,,,,no,,public.client_financial_data.undefined,client_financial_data,,,client_financial_data e flags possui_*,,,,yes,yes,confiabilidade-indicadores - Página1 (1).csv | Dados Gerais | Perfil Financeiro | Gráfico
frozen_clients,Clientes congelados,general,Dados Gerais,Cliente com status bruto congelado e sem a regra consolidada (churn_efetivado_at OU distrato_assinado_at OU distrato='Assinado' OU clients.data_churn (união distinta por client_id; não arquivado)).,Cliente distinto presente em clients após exclusões operacionais.,,,clients,Sim,yes,no,,,,,,,,no,,public.clients.status|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,clients|cancellations|cancellations,status|churn_efetivado_at|distrato_assinado_at,clientes congelados|quantos clientes congelados|congelados|clientes pausados,,,,,yes,yes,portal-metric-catalog.mjs#frozen_clients
